20181930-20:19:33:123515555 $GPGSV,2,2,06,20,,,16,29,,,43*76
20181930-20:19:33:223176805 $GLGSV,2,1,05,66,,,36,82,,,36,83,,,36,,,,18*6E
20181930-20:19:33:229677743 $GLGSV,2,2,05,,,,18*69
20181930-20:19:33:235262691 $GNGLL,,,,,034153.00,V,N*54
20181930-20:19:33:445811440 $GNZDA,034153.00,31,01,2018,00,00*70
20181930-20:19:33:918772430 $GNRMC,034154.00,V,,,,,,,310118,,,N*6E
20181930-20:19:33:923904201 $GNVTG,,,,,,,,,N*2E
20181930-20:19:34:022814461 $GNGGA,034154.00,,,,,0,03,3.36,,,,,,*4A
20181930-20:19:34:027823211 $GNGSA,A,1,05,29,,,,,,,,,,,3.51,3.36,1.00*10
20181930-20:19:34:032685711 $GNGSA,A,1,66,,,,,,,,,,,,3.51,3.36,1.00*1E
20181930-20:19:34:126898367 $GPGSV,2,1,06,02,,,29,04,,,41,05,71,130,36,12,,,25*44
20181930-20:19:34:131785138 $GPGSV,2,2,06,20,,,16,29,55,222,44*43
20181930-20:19:34:230840138 $GLGSV,2,1,06,66,25,147,36,81,29,077,,82,,,37,83,,,36*62
20181930-20:19:34:235759565 $GLGSV,2,2,06,,,,18,,,,33*6A
20181930-20:19:34:475393419 $GNGLL,,,,,034154.00,V,N*53
20181930-20:19:34:480166076 $GNZDA,034154.00,31,01,2018,00,00*77
20181930-20:19:34:784543471 $GNRMC,034155.00,V,,,,,,,310118,,,N*6F
20181930-20:19:34:789224252 $GNVTG,,,,,,,,,N*2E
20181930-20:19:34:888476961 $GNGGA,034155.00,,,,,0,04,2.75,,,,,,*4A
20181930-20:19:34:893568784 $GNGSA,A,1,05,29,,,,,,,,,,,4.60,2.75,3.68*1F
20181930-20:19:34:898495450 $GNGSA,A,1,66,81,,,,,,,,,,,4.60,2.75,3.68*18
20181930-20:19:34:992766179 $GPGSV,2,1,06,02,,,20,04,,,40,05,71,130,32,12,,,23*4E
